time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.485231,0.934194299822,-0.706014657624,-0.798053504897,2.50805858819,0.863247688383,0.194048569668,-1.3805827091,0.0,-0.655393291624,-0.586364156169,0.565271920336,2.56213141097,-2.34468963428,0.108529140743,0.933427309428,0.0
0.485601,0.934194299822,-0.706014657624,-0.798053504897,2.50805858819,0.863247688383,0.194048569668,-1.3805827091,0.0,-0.655393291624,-0.586364156169,0.565271920336,2.56213141097,-2.34468963428,0.108529140743,0.933427309428,0.0
0.495903,0.934961290216,-0.706398152821,-0.7976700097,2.50844208339,0.863631183579,0.194432064864,-1.3801992139,0.0,-0.655776786821,-0.586747651366,0.565271920336,2.56213141097,-2.34392264389,0.108529140743,0.932276823837,0.0
0.505768,0.934577795019,-0.70524766723,-0.7976700097,2.507675093,0.862864193186,0.194815560061,-1.3801992139,0.0,-0.655009796427,-0.586364156169,0.565271920336,2.56404888695,-2.34392264389,0.108529140743,0.933043814231,0.0
0.515674,0.934577795019,-0.70524766723,-0.798053504897,2.50844208339,0.863247688383,0.195199055258,-1.38096620429,0.0,-0.655393291624,-0.586364156169,0.56603891073,2.56289840136,-2.34430613909,0.108529140743,0.933427309428,0.0
0.525692,0.934194299822,-0.706398152821,-0.798053504897,2.507675093,0.862864193186,0.194432064864,-1.3805827091,0.0,-0.655776786821,-0.586364156169,0.56603891073,2.56251490616,-2.34392264389,0.108529140743,0.932660319034,0.0
0.535597,0.934577795019,-0.707165143215,-0.798053504897,2.5072915978,0.862480697989,0.194048569668,-1.3805827091,0.0,-0.655776786821,-0.585980660972,0.565271920336,2.56328189656,-2.34392264389,0.107762150349,0.933810804625,0.0
0.545727,0.934961290216,-0.706398152821,-0.797286514503,2.507675093,0.862480697989,0.194432064864,-1.38173319469,0.0,-0.655776786821,-0.586364156169,0.564888425139,2.56289840136,-2.34430613909,0.108529140743,0.933427309428,0.0
0.555830,0.934961290216,-0.706398152821,-0.798053504897,2.5072915978,0.863247688383,0.194432064864,-1.3805827091,0.0,-0.655776786821,-0.585980660972,0.565271920336,2.56328189656,-2.34430613909,0.107762150349,0.932660319034,0.0
0.565813,0.935344785413,-0.706014657624,-0.798437000094,2.5072915978,0.862097202792,0.194432064864,-1.3801992139,0.0,-0.655393291624,-0.586364156169,0.565655415533,2.56289840136,-2.34430613909,0.10891263594,0.932660319034,0.0
